Mnemonic,Tag,FLBR.US,FET.US,FGDP_.US,FC_.US,FCD_.US,FCN_.US,FCS_.US,FI_.US,FIF_.US,FIFN_.US,FIFNS_.US,FIFR_.US,FEXG_.US,FEXS_.US,FIMG_.US,FIMS_.US,FG_.US,FAWHTP.US,FIP.US,FTWDBRD.US,FYPQ.US,FYLE.US,FYPDPIQ.US,FYPDPI_Q.US,FYPSAVQ.US,FCPIU.US,FCPIUL1E.US,FCPWTI.US,FPDPC.US,FPDPGDP.US,FAHETP.US,FHST.US,FHST1.US,FHSTMF.US,FGDP.US,FYHHMEDQ.US,FPPISP3500.US,FPPISP3000.US,FHN1.US,FHN1SUPQ.US,FRVEHL.US,FZPAVN.US,FMBAD.US,FBCFCOFCCQ.US,FCBC.US,FCCALLQ.US,FCCREVQ.US,FCCNREVQ.US,FBBABLLICBQ.US,FBBABLLRCBQ.US,FBBABLLCCBQ.US,FHX1.US,FBKBY.US,FBKPY.US,FCPGASQ.US,FDJMIIUSDDWCFTDQ.US,FRFHLMCFM.US,FG.US,FI.US,FIF.US,FZFL075035503Q.US,FZ.US,FRFED.US,FRPRIME.US,FRILIBOR1M.US,FRILIBOR3M.US,FRILIBOR6M.US,FRILIBOR12M.US,FRTB3M.US,FRTB6M.US,FRGT1Y.US,FIRSWP1YQ.US,FRGT2Y.US,FIRSWP2YQ.US,FRGT3Y.US,FIRSWP3YQ.US,FRGT5Y.US,FIRSWP5YQ.US,FRGT7Y.US,FIRSWP7YQ.US,FRGT10Y.US,FIRSWP10YQ.US,FRGT20Y.US,FRGT30Y.US,FIRSWP30YQ.US,FRBAAC.US,FSPVOL.US,FIFNE_Q.US,FIFNIP_Q.US,FABABC.US,FCUMF.US,FLBR.TX,FLBR.MI,FLBR.CA,FLBR.FL,FLBR.AZ,FABAHE.US,FHCLHP1TIM.TX,FHCLHP1TIM.MI,FHCLHP1TIM.CA,FHCLHP1TIM.FL,FHCLHP1TIM.AZ,FHCLHP1TIM.US,FMOF14TQ.US,FMOF14RQ.US,FMOF14PQ.US,FCBOEVIXQ.US,FRPRIME.US
date,string,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double,double
3/31/1990,HI,5.3,109.422,8947.129,5658.687,408.4165468,1411.461013,3942.243047,1269.982,1266.580428,826.0322515,467.3131257,450.5653245,420.8488315,220.3589725,553.1200692,187.9043915,2215.792,34.43333333,64.24473333,71.4041,4813.23,3278.835,4230.723,6376.468,7.8,128.0333333,132.7666667,21.70111111,66.35,65.901,10.06666667,1.425666667,1.057666667,0.368,5890.835,30733.30541,124.9,117.6,0.595,7.466666667,14.7592,170.157,4.54,3.1,107.9469299,846.47643,219.34578,627.13047,636.8618333,774.055,375.9831333,3.133333333,64302,638509,,3273.458,10.12016675,1214.03,1010.84,996.886,108.414,413.498,8.262903226,10.03225806,8.350586094,8.403320313,8.479248281,8.6875,7.763548387,7.702419355,8.131451613,,8.36483871,,8.385967742,,8.383709677,,8.442258065,,8.423870968,,,8.441774214,,10.09666665,0.842935269,304.4293232,186.4654832,2.18,82.09986667,6.3,7.633333,5.2,5.766667,5.3,0.76209718,72.489,58.414,86.986,80.594,68.363,77.202,514.3062948,71.63986285,442.6664319,22.17460317,10.03225806
6/30/1990,HI,5.333333333,109.7956667,8981.727,5676.423,394.9087459,1413.027103,3990.37837,1270.441,1241.563206,815.3168638,465.0256617,432.8006504,425.013437,224.6758427,551.0685903,189.2559108,2221.168,34.33333333,64.73923333,73.19366667,4888.926,3334.781,4294.345,6414.64,8,129.3,134.5,17.96460317,66.946,66.58,10.16,1.212333333,0.9,0.312333333,5974.665,31025.39544,125.9666667,117.5,0.540333333,8.133333333,13.8736,169.931,4.5,3.2,105.6504466,850.62109,227.42123,623.19966,640.7352333,797.3914,375.2095333,2.906666667,64688,660796,,3424.366,10.31416667,1228.585,1014.752,981.052,107.456,433.404,8.23671875,10,8.356301475,8.462346557,8.593237869,8.830942623,7.746666667,7.743015873,8.270952381,,8.571111111,,8.622857143,,8.644285714,,8.704285714,,8.674126984,,,8.647936533,,10.3100001,0.71754439,295.1641669,189.7600042,2.36,82.1553,6.233333,7.333333492,5.4,5.9,5.333333492,0.76484561,72.883,59.207,87.052,80.433,68.397,77.255,466.6191083,72.33129956,394.2878088,18.72206349,10
9/30/1990,HI,5.7,109.656,8983.945,5699.3,390.9075715,1415.310986,4022.690203,1245.648,1231.171437,820.9195742,463.3385474,409.528888,429.0715309,225.1566563,547.0928559,190.964954,2219.874,34.2,65.00793333,71.20433333,4950.643,3373.878,4349.917,6417.037,7.7,131.5333333,136.5,26.28370968,67.787,67.18,10.24666667,1.132,0.856,0.276,6029.504,31281.88329,127.1333333,119.2666667,0.522,8.133333333,13.7984,169.998,4.83,3.55,90.68195343,858.16458,236.48145,621.68294,639.9417333,818.9468667,373.1109667,2.93,64544,685005,,2879.335,10.10333327,1240.4,1000.658,978.792,107.014,407.1,8.184126984,10,8.162597813,8.165771563,8.191162344,8.294433594,7.477142857,7.406349206,7.828253968,,8.098730159,,8.248730159,,8.424603175,,8.624126984,,8.701269841,,,8.791587285,,10.41666667,1.076505386,299.3843876,190.3825475,2.56,81.85623333,6.333333492,7.466667,5.9,6.2,5.266667,0.78505069,73.08,59.395,86.147,80.348,68.244,76.842,436.0209436,74.04839526,361.9725483,25.19555556,10
12/31/1990,HI,6.133333333,109.246,8907.363,5656.174,380.1422635,1401.107413,4013.182811,1176.268,1199.692277,808.2277201,442.4752979,385.8962623,428.9969727,232.6144936,530.7287332,188.2422714,2240.249,34.16666667,63.99843333,69.8366,4972.888,3383.184,4372.03,6366.168,7.6,133.7666667,138.0666667,32.07222222,68.676,67.702,10.32333333,1.042666667,0.788666667,0.254,6023.332,31368.69188,128.3333333,122.1666667,0.474,8.466666667,13.0216,166.162,4.77,3.79,61.84586461,855.95893,240.39903,615.55969,639.3981,835.0125333,375.2158333,2.713333333,64853,718107,,3101.355,9.954666837,1270.429,947.55,958.885,106.574,414.607,7.779193548,10,8.148193594,8.094238438,8.01245125,7.986084063,6.99483871,6.968709677,7.313064516,,7.605806452,,7.767258065,,8.035322581,,8.3,,8.405967742,,,8.555161276,,10.59666665,1.191459513,294.9579882,194.1398441,2.86,80.01196667,6.533333,8.1,6.633333,6.633333,5.166666508,0.856855154,73.248,59.382,84.832,80.309,67.803,76.179,431.1778017,62.11684154,369.0609602,26.11328125,10
3/31/1991,HI,6.6,108.7853333,8865.564,5636.708,369.6737178,1401.759951,4012.185533,1137.137,1166.572311,791.9749598,432.9880189,365.5663206,439.7866029,222.6010274,527.468631,182.0779292,2251.208,34.1,62.79216667,71.7189,4983.8,3395.08,4403.035,6379.73,8.1,134.7666667,140.0666667,21.82442623,69.017,68.373,10.39333333,0.894666667,0.703,0.191666667,6054.867,31318.56863,129.8,121.9,0.463333333,8.2,12.1288,175.206,5.12,4.18,65.1786677,856.08018,248.59716,607.48281,635.7785667,851.9023333,371.6386333,2.753333333,65937,764259,,3583.671,9.490666676,1287.181,924.608,940.128,105.565,453.969,6.524754098,9.183333333,6.811492419,6.887852903,6.919859032,7.139365161,6.028666667,6.048166667,6.442,,7.036,,7.2745,,7.652,,7.905833333,,8.023166667,,,8.201166622,,10.20333322,1.018002357,284.3462272,197.2580697,3.34,77.8267,6.733333,9.1,7.333333492,7.1,5.133333,0.943946958,73.888,59.362,83.944,79.676,67.633,75.574,450.1116201,105.0562153,345.0554048,22.51583333,9.183333333
6/30/1991,HI,6.833333333,108.3153333,8934.366,5684.016,371.536157,1410.003678,4052.675051,1137.211,1170.097004,788.0056927,421.1738369,376.8158426,449.2341862,239.8841865,536.2152466,186.1285581,2259.165,34.03333333,63.15596667,75.29853333,5042.979,3430.238,4457.005,6423.863,8,135.5666667,141.3333333,20.7721875,69.384,68.832,10.49,1.011,0.844,0.167,6143.612,31264.87811,130.5666667,121.4333333,0.513666667,7.1,12.2004,180.156,5.2,4.6,77.93493144,853.72301,254.00284,599.71996,628.4865667,862.9763333,370.2659333,3.026666667,67600,812320,,3545.47,9.526499907,1296.557,926.552,944.585,104.565,451.488,5.8815625,8.671875,6.052797419,6.162298387,6.333669516,6.783140161,5.5603125,5.689375,6.23796875,,6.8940625,,7.2421875,,7.77484375,,8.00703125,,8.12546875,,,8.31140627,,9.919999758,0.874689533,282.5292773,201.7315665,3.23,77.92796667,6.8,9.466666,7.733333,7.5,5.5,0.938085973,74.027,60.011,84.176,79.846,68.184,75.991,526.7297517,158.7836894,367.9460624,17.14703125,8.671875
9/30/1991,HI,6.866666667,108.3153333,8977.252,5711.641,377.2462729,1412.374566,4069.49582,1159.826,1171.575755,781.2759065,393.781236,389.5558872,459.5658163,245.9518453,557.4297653,182.9304864,2250.847,34.1,64.02276667,75.8068,5093.674,3469.184,4503.441,6447.21,7.9,136.6,142.8666667,21.64953125,69.854,69.328,10.56,1.042333333,0.879,0.163333333,6218.425,31215.89842,131.3666667,121.3,0.508,7.1,12.6616,183.128,4.88,4.83,75.57256826,848.61768,260.56862,588.04885,620.728,864.2103333,365.3767333,2.883333333,70176,848812,,3743.976,9.275500027,1302.388,947.472,946.629,101.038,449.372,5.67953125,8.40625,5.797596154,5.851923077,6.054807692,6.331009692,5.379375,5.453125,5.8953125,,6.52109375,,6.90328125,,7.501875,,7.7975,,7.95,,,8.188593753,,9.683333397,0.817422008,286.8203719,202.5083682,3.19,79.02273333,6.9,9.133333,7.833333492,7.7,6.2,0.852612734,74.099,60.526,84.062,79.904,68.04,76.19,571.8409034,151.1892676,420.6516358,16.63421875,8.40625
12/31/1991,HI,7.1,108.3256667,9016.444,5710.052,371.085897,1400.237363,4094.959672,1200.972,1176.660227,780.8348768,385.6830875,397.2595348,469.7163765,251.7163825,570.7882328,185.5431617,2242.287,34.13333333,64.1601,74.5667,5173.088,3513.49,4574.456,6502.332,8.7,137.7333333,144.2,21.76671875,70.355,69.694,10.61333333,1.087,0.913666667,0.173333333,6279.296,31251.43185,132.4666667,122.2,0.552333333,6.366666667,12.2664,183.562,4.89,4.59,55.11924616,845.75731,265.52494,580.23216,619.234,866.9844,362.4296,2.803333333,71549,872437,,4041.102,8.677499882,1306.524,978.757,947.624,97.629,450.488,4.850806452,7.60483871,5.080322344,5.069335938,5.046630938,5.174560625,4.549032258,4.592903226,4.873870968,,5.503709677,,5.846129032,,6.561612903,,6.998870968,,7.345,,,7.850322616,,9.399999936,0.787695206,285.4802102,208.0837115,3.29,78.9676,7.266667,9.266666,8.2,8.066667,7.066667,0.880713761,74.546,61.115,83.312,79.642,68.319,76.046,688.833516,287.4273638,401.4061522,17.4553125,7.60483871
3/31/1992,HI,7.366666667,108.3526667,9122.95,5817.316,385.6477157,1421.07507,4162.508689,1178.889,1189.685388,777.8783445,380.6874764,419.9860797,480.8042393,252.6936885,578.9464397,181.4728887,2259.676,34.1,64.07806667,75.79616667,5290.165,3597.617,4701.352,6641.922,9.1,138.6666667,145.4666667,18.92063492,70.788,70.014,10.67333333,1.241,1.036,0.205,6380.798,31404.37361,133.1666667,122.2333333,0.622666667,5.4,12.5528,185.158,4.71,4.91,51.35130692,847.17044,268.51208,578.65816,610.2222,873.0189333,361.4994667,3.103333333,73232,893259,,3961.548,8.709833241,1326.9,956.774,956.528,95.396,476.546,4.060322581,6.5,4.229003906,4.249755938,4.353271563,4.726684531,3.898870968,3.995967742,4.364354839,,5.293870968,,5.774516129,,6.59483871,,6.979677419,,7.306935484,,,7.803064508,,9.203333219,0.712559419,283.2251304,210.8273093,2.86,78.61413333,7.6,9.4,8.7,8.466666,7.7,0.785644352,75.155,61.44,82.686,79.628,68.721,76.274,869.5813623,447.0180411,422.5633212,17.56428571,6.5
